Key,lang-en.json,lang-ht.json,lang-ru.json,lang-zh-hans.json,lang-ko.json,lang-vi.json,lang-es.json,lang-zh-hant.json
About IRS,,Konsènan IRS,О Налоговом управлении США (IRS),关于美国国税局,IRS 소개,Giới thiệu về IRS,Acerca del IRS,關於美國國稅局
Accessibility,,Aksesibilite,доступность,无障碍,접근성,Khả năng tiếp cận,Accesibilidad,無障礙
Advance Child Tax Credit,,Kredi Enpo Davans pou Timoun,"Авансовый налоговый зачет, выплачиваемый за ребенка",预付子女税优惠款,자녀 세액공제 선급,Khoản trả trước Tín Thuế Trẻ Em,Crédito tributario por hijos por adelantado,預付子女稅優惠款
Amend/Fix Return,,Modifye/Korije Deklarasyon,Исправленная декларация о выплате индивидуального подоходного налога США,修改/修复税表,보고서 수정/정정,Điều chỉnh/sửa hồ sơ khai thuế,Enmendar/arreglar la declaración,修改/修復稅表
Apply for Power of Attorney,,Aplike pou Pwokirasyon,Заявление на получение доверенности,申请授权委托书,위임장 신청,Yêu cầu quyền được đại diện cho người khác,Poder Legal y Declaración del Representante,申請授權委託書
Apply for an ITIN,,Aplike pou yon ITIN,Заявление на выдачу индивидуального идентификационного номера налогоплательщика (ITIN),申请ITIN,개인 납세자 식별 번호(ITIN) 신청,Xin cấp một số ITIN,Solicitar un Número de Identificación Personal del Contribuyente (ITIN),申請ITIN
Bank Account (Direct Pay),,Kont Bankè (Pèman Dirèk),Банковский счет (прямая уплата),银行账户（直接支付）,은행 계좌(자동 이체),Tài khoản ngân hàng (Direct Pay),Cuenta Bancaria (Pago Directo),銀行賬戶（直接支付）
Business & Self Employed,,Antrepriz ak Travayè Endepandan,Компания и самозанятое лицо,商业和自雇人士,사업체 및 자영업자,Doanh nghiệp & tự làm chủ,Negocios y trabajadores por cuenta propia,商業和自僱人士
Businesses & Self-Employed,,Antrepriz ak Travayè Endepandan,Компания и самозанятое лицо,商业和自雇人士,사업체 및 자영업자,Doanh nghiệp & tự làm chủ,Negocios y trabajadores por cuenta propia,商業和自僱人士
Careers,,Karyè,Карьера,职业机会,채용정보,Nghề Nghiệp,Carreras,職涯
