mapping_key,flow_key,lang-es,flow_es,en,ht,ru,zh-hans,ko,vi,zh-hant
,///chosenTaxYear/options/2023/name,2023,2023,2023,2023,2023,2023,2023,2023,2023
,///chosenTaxYear/options/2024/name,2024,2024,2024,2024,2024,2024,2024,2024,2024
,///chosenTaxYear/options/2025/name,2025,2025,2025,2025,2025,2025,2025,2025,2025
agi.li.unearnedOtherTT5,/agi/modal-other-taxable-income/ul-0/li-6dac33,"Bienes inmuebles en alquiler, regalías, sociedades, sociedades anónimas de tipo S, fideicomisos, etc.","Bienes inmuebles en alquiler, regalías, sociedades, sociedades anónimas de tipo S, fideicomisos, etc.","Rental real estate, royalties, partnerships, S corporations, trusts, etc.","Lokasyon imobilye, dwa dotè, patenarya,sosyete S, kowalisyon, elatriye.","Арендная недвижимость, лицензионные платежи, товарищества, корпорации типа «S», трасты и т.д.",房地产租赁、版税、合伙企业、小型公司、信托等,"임대 부동산, 로열티, 파트너쉽, S법인, 신탁 등","Bất động sản cho thuê, tiền bản quyền, công ty hợp doanh, công ty S, quỹ ủy thác, v.v.",出租房地產、特許權使用費、合夥企業、S 企業、信託等。
agi.p.educatorTT1,/agi/modal-educator-expenses/p-e117c8,"Si trabaja es un/a maestro/a, ingrese hasta <fg-show path=""/maxEducatorExpensesNonMFJ""/> (<fg-show path=""/maxEducatorExpensesLimit""/> si está casado/a y presenta una declaración conjunta y si usted y su cónyuge son maestros) de los gastos no reembolsados tales como:","Si trabaja es un/a maestro/a, ingrese hasta <fg-show path=""/maxEducatorExpensesNonMFJ""/> (<fg-show path=""/maxEducatorExpensesMFJ""/> si está casado/a y presenta una declaración conjunta y si usted y su cónyuge son maestros) de los gastos no reembolsados tales como:","If you're a teacher, enter up to <fg-show path=""/maxEducatorExpensesNonMFJ""/> (<fg-show path=""/maxEducatorExpensesMFJ""/> if married filing jointly and both you and your spouse are teachers) of unreimbursed expenses such as:","Si ou se yon pwofesè, antre jiska <fg-show path=""/maxEducatorExpensesNonMFJ""/> (<fg-show path=""/maxEducatorExpensesLimit""/> si konjwen ap deklare ansanm epi toulède ou menm ak madanm ou se pwofesè) nan depans ki pa ranbouse tankou:","Если вы учитель, укажите сумму до <fg-show path=""/maxEducatorExpensesNonMFJ""/> (<fg-show path=""/maxEducatorExpensesLimit""/>, если вы состоите в браке и оба супруга являются учителями) на невозмещенные расходы, такие как:",如果您是一名教师，请输入最高 250 美元（如果是已婚夫妇联合申报，且您和您的配偶均为教师，则为 500 美元）的未补偿费用，例如：,"귀하가 교사라면, 최대 <fg-show path=""/maxEducatorExpensesNonMFJ""/> (부부 공동 신고이며 귀하와 귀하의 배우자 모두 교사이면 <fg-show path=""/maxEducatorExpensesLimit""/>)의 보상 금액을 입력합니다. 예를 들어:","Nếu quý vị là giáo viên, hãy nhập tối đa <fg-show path=""/maxEducatorExpensesNonMFJ""/> (<fg-show path=""/maxEducatorExpensesLimit""/> nếu vợ chồng quý vị khai chung hồ sơ thuế và cả quý vị và người phối ngẫu của quý vị đều là giáo viên) cho những chi phí chưa được hoàn lại như:",如果您是教師，請填入最多 250 美元（如果已婚共同申報且您和您的配偶都是教師，則為 500 美元）的未核銷費用，例如：
results.note3,/results/p-35b0d2," para verificar el estado de su reembolso, realizar un pago, encontrar ayuda gratuita para la preparación de impuestos, regístrese para recibir consejos tributarios útiles y más.","Puede usar la aplicación móvil        <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/es/help/irs2goapp""> IRS2Go app<span class=""usa-sr-only""> (se abre en una pestaña nueva)</span>        </a>        para verificar el estado de su reembolso, realizar un pago, encontrar ayuda gratuita para la preparación de impuestos, regístrese para recibir consejos tributarios útiles y más!","You can use the        <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/help/irs2goapp""> IRS2Go app<span class=""usa-sr-only""> (opens in a new tab)</span>        </a>        to check your refund status, make a payment, find free tax preparation assistance, sign up for helpful tax tips,        and more!"," a pou w tcheke estati ranbousman w, fè peman, chèche jwenn èd preparasyon enpo ki gratis, enskri pou w jwenn konsèy enpo ki itil, ak lòt bagay ankò!",", чтобы проверить статус вашего возврата, осуществить платеж, найти бесплатную помощь в подаче налоговой декларации, подписаться на полезные налоговые советы и многое другое!",来查看您的退税状态，付款，找到免费的税收准备帮助，注册获取有帮助的税务提示，以及等等！,"을 사용해 귀하의 환급 현황, 세금 납부, 무료 세금 신고 준비 지원, 도우되는 세무팁 구독 등을 할 수 있습니다."," để kiểm tra tình trạng hoàn thuế, thực hiện thanh toán, tìm kiếm sự hỗ trợ chuẩn bị thuế miễn phí, đăng ký nhận các mẹo hữu ích về thuế và nhiều hơn thế nữa!",來查看您的退稅狀態，付款，找到免費的稅收準備幫助，註冊獲取有幫助的稅務提示，以及等等！
results.p.introTop2,/results/p-adf6bb,"Este monto del crédito reducirá sus impuestos del año <fg-show path=""/taxYear""/> cuando presente su declaración de impuestos ante el IRS. SI el crédito reduce su impuesto a un monto menor que cero, es posible que pueda obtener un reembolso.","Este monto del crédito reducirá sus impuestos del año <fg-show path=""/taxYear""/> cuando presente su declaración de impuestos ante el IRS.        Sl el crédito reduce su impuesto a un monto menor que cero, es posible que pueda obtener un reembolso.","This credit amount will reduce your <fg-show path=""/taxYear""/> taxes when you file your tax return with the IRS.        If the credit reduces your tax to less than zero, you may get a refund.","Kantite kredi sa a ap redwi ou <fg-show path=""/taxYear""/> taks lè ou ranpli deklarasyon taks ou ak IRS. Si kredi a diminye taks ou a mwens pase zewo, ou ka jwenn yon ranbousman.","Данная сумма зачета уменьшит ваши налоги за <fg-show path=""/taxYear""/>, когда вы подадите налоговую декларацию в IRS. Если зачет уменьшит ваш налог менее чем до нуля, вы можете получить возмещение.","您向 IRS 进行报税时，这一抵免额可减少您的 <fg-show path=""/taxYear""/> 的税额。如果该抵免将您的税额减少到低于零，您可获得退税。","이 공제액은 귀하가 귀하의 세금 신고서를 국세청에 제출할 때 귀하의 <fg-show path=""/taxYear""/>년 세금을 감소시킬 것입니다. 이 공제가 귀하의 세금을 0보다 적은 수까지 감소시키면 귀하는 환급을 받게 됩니다.","Khoản tín thuế này sẽ giảm thuế <fg-show path=""/taxYear""/> của quý vị khi quý vị nộp tờ khai thuế cho IRS. Nếu tín thuế này giảm tiền thuế của quý vị xuống dưới 0, quý vị có thể nhận được tiền hoàn thuế.","當您向美國國稅局申報報稅表時，此稅務優惠將減少您在 <fg-show path=""/taxYear""/> 年度的稅款。如果稅務優惠將您的稅款降至零以下，您可能會獲得退稅款。"
filingStatus.p.us50PercentTT1,/filing-status/modal-main-home-us/p-775779,"Su hogar debe haber sido en los Estados Unidos durante más de la mitad del año <fg-show path=""/taxYear""/>.  Los Estados Unidos incluyen los 50 estados y el Distrito de Columbia. No incluye las Posesiones de los Estados Unidos, como, por ejemplo, Guam, las Islas Vírgenes o Puerto Rico. ","Los Estados Unidos incluyen los 50 estados y el Distrito de Columbia. No incluye las Posesiones de los Estados Unidos, como, por ejemplo, Guam, las Islas Vírgenes o Puerto Rico.","The United States includes the 50 states and the District of Columbia. It does not include United States possessions such as Guam, the Virgin Islands, or Puerto Rico.","Kay ou dwe te Ozetazini pou plis pase mwatye nan <fg-show path=""/taxYear""/> . Etazini gen ladan tout 50 eta ak Distri Columbia. Li pa gen ladann byen Etazini tankou Guam, Zile Vyèj yo, oubyen Pòtoriko.","Ваш дом должен находиться в США более половины <fg-show path=""/taxYear""/> . Соединенные Штаты Америки включают 50 штатов и округ Колумбия. В него не входят владения США, такие как Гуам, Виргинские острова или Пуэрто-Рико. ","您的居所在 <fg-show path=""/taxYear""/> 中必须有超过一半的时间位于美国。美国包括 50 个州和哥伦比亚特区。不包括关岛、维尔京群岛或波多黎各等美国属地。","귀하의 거주지가 미국 내에 <fg-show path=""/taxYear""/> 년의 반 동안 있어야 합니다. 미국은 50개 주와 컬럼비아 특별구를 포함합니다. 괌, 버진아일랜드, 푸에르토리코등 미국령은 포함하지 않습니다.","Nhà của quý vị phải ở Hoa Kỳ trong hơn nửa <fg-show path=""/taxYear""/> . Hoa Kỳ bao gồm 50 tiểu bang và Đặc Khu Columbia. Hoa Kỳ không bao gồm các vùng lãnh thổ thuộc sở hữu của Hoa Kỳ như Guam, Quần Đảo Virgin hoặc Puerto Rico. ","您的家在 <fg-show path=""/taxYear""/> 年中必須有超過一半的時間是在美國。美國包括 50 個州和哥倫比亞特區。它不包括關島、維爾京群島或波多黎各等美國屬地。"
filingStatus.legend.maritalStatus,/filing-status//maritalStatus/question,"¿Cuál fue su estado civil el 31 de diciembre del año <fg-show path=""/taxYear""/>?","¿Cuál fue su estado civil el 31 de diciembre del año <fg-show path=""/taxYear""/>?","What was your marital status on December 31, <fg-show path=""/taxYear""/>?","Kisasitiyasyon sivil ou te ye 31 desanm, <fg-show path=""/taxYear""/>?","Каково было ваше семейное положение на 31 декабря <fg-show path=""/taxYear""/>?","在 <fg-show path=""/taxYear""/> 12 月 31 日，您的婚姻状况如何？","<fg-show path=""/taxYear""/>년 귀하의 결혼 상태는 무엇입니까?","Tình trạng hôn nhân của quý vị vào ngày 31 tháng 12 năm <fg-show path=""/taxYear""/> là gì?","您的婚姻狀態在 <fg-show path=""/taxYear""/> 年 12 月 31 日是？"
generalInfo.li.claimedAsDependentTT1,//modal-claimed-dependent/p-98d6db,"En la mayoría de los casos, si usted tiene menos de 19 años o es un estudiante menor de 24 años y vive con sus padres u otros parientes en los Estados Unidos durante más de la mitad del año, seleccione <strong>Yes</strong>.","En la mayoría de los casos, si usted tiene menos de 19 años o es un estudiante menor de 24 años y vive con sus padres u otros parientes en los Estados Unidos durante más de la mitad del año, seleccione <strong>Sí</strong>.","In most cases, if you're under age 19 or a student under age 24 and live with your parents or other relatives in the United States for more than half of the year, select Yes.","Nan pifò ka yo, si w gen mwens pase 19 oubyen se yonetidyan anba 24 lane epi w ap viv ak paran w oubyen lòt fanmi Ozetazini pou plis pase mwatye ane a, Seleksyone <strong>Yes</strong>.","В большинстве случаев, если вам меньше 19 лет или вы студент до 24 лет и проживаете с родителями или другими родственниками в США более половины года, выберите <strong>Yes</strong>.",在大多数情况下，如果您未满 19 岁，或是一名未满 24 岁的学生，并且与父母或其他亲属在美国生活了半年以上，请选择 <strong>Yes</strong>。,"대부분의 경우, 귀하가 만 19세 미만이거나 만 24세 미만의 학생이며 부모님이나 친척과 함께 미국에서 반년 이상 살고 있다면  <strong>Yes</strong>를 선택하세요.","Trong hầu hết các trường hợp, nếu quý vị chưa đủ 19 tuổi hoặc là học sinh/sinh viên dưới 24 tuổi và sống với cha mẹ hoặc thân nhân khác của quý vị ở Hoa Kỳ trong hơn nửa năm, hãy chọn <strong>Yes</strong>.",在大多數情況下，如果您未滿 19 歲或未滿 24 歲的學生，並且與您的父母或其他親戚在美國生活了半年以上，請選擇 <strong>Yes</strong>。
